SDSS_NAME,PLATE,MJD,FIBER,MASS,LBOL
004300.26+045718.6,4419,55867,178,9.654579531,47.36237263
002107.48+090626.6,4538,55860,660,9.136222895,46.8988501
010447.39+101031.6,4663,55893,248,9.697789038,47.34991382
010645.66+114123.8,4663,55893,854,9.505063062,47.29247533
224120.02+164100.8,5039,56220,625,9.416456218,47.12950628
085824.80+265903.0,5179,55957,836,9.389990936,47.05638428
165542.60+381338.3,5187,56074,92,9.529406018,47.47054574
162122.54+075808.4,5212,56016,348,9.523730153,47.26173079
085119.10+134652.5,5288,55865,958,9.489107335,47.33738471
094734.19+142116.9,5320,55999,336,9.964380736,47.867227
102327.38+122405.4,5338,56002,157,9.115475101,46.85569267
105329.83+113248.2,5356,55979,586,9.321545364,46.78952128
113347.81+121255.2,5372,55978,916,9.144557525,46.78291596
113050.17+124157.5,5372,55978,742,9.292382098,46.766199
112954.72+080935.5,5374,55947,608,9.646734801,47.13995361
120821.01+090130.4,5391,56000,254,9.522776503,47.28256804
121815.59+114551.8,5394,56001,990,9.631181731,47.46024885
130236.17+095831.8,5415,55982,13,9.546008965,47.15693425
132241.02+111202.3,5427,56001,204,9.503102987,47.05913739
133106.02+103604.2,5430,56000,964,9.296810481,46.83695767
141415.41+163915.0,5454,56015,104,9.147643013,46.90201921
143212.86+113953.1,5465,55988,798,9.502075214,47.39109408
144844.69+092834.2,5476,55986,599,9.100415913,47.16920211
150953.55+121444.9,5483,56017,61,9.517960045,47.22391186
151543.98+143444.8,5486,56030,78,8.999529063,46.89850642
075916.12+092743.0,5494,55857,549,9.427206506,47.33086719
092619.69+591507.5,5712,56602,74,9.15012824,47.02466432
091247.35+254646.2,5778,56328,973,9.37936684,46.99048617
093208.77+314328.0,5807,56329,778,9.771704205,47.56356874
090833.41+325434.6,5809,56353,704,9.125597127,46.79256281
135402.11+182810.9,5868,56045,372,9.630065686,47.52864847
140958.02+220206.0,5896,56047,658,9.489212921,47.09352573
133739.05+222129.2,5998,56087,294,9.48724406,46.79650329
162115.06+400732.3,6045,56072,455,9.387161428,47.4523936
234448.62+165312.2,6138,56598,754,9.017614834,46.738399
232013.37+145857.8,6142,56219,893,9.706596747,47.17904572
235954.02+112618.4,6182,56190,657,9.191597453,47.05399942
004659.89+180739.6,6199,56220,264,9.441529549,47.19704816
005053.61+300548.4,6257,56274,490,9.427760541,47.18586147
162349.61+505501.1,6313,56460,295,9.433936776,47.27520367
164002.13+472954.9,6318,56186,342,8.794824304,47.12954293
120105.36+290352.1,6402,56334,966,9.472958895,47.2977526
113439.19+290148.4,6405,56342,814,9.78507973,47.43904725
105853.11+250552.9,6412,56358,454,9.123609862,46.94640176
114022.89+303547.3,6433,56339,278,9.036741752,46.6244539
110018.52+314122.5,6442,56369,246,9.286019312,47.05960118
103119.22+294622.9,6456,56339,894,9.538700972,47.41880261
125924.28+445105.0,6621,56366,502,9.146563003,47.37259012
122325.29+470445.0,6640,56385,896,9.383974218,46.75189647
123830.71+480003.4,6670,56389,168,9.291405714,47.49923256
123615.42+515917.9,6674,56416,693,9.273903463,47.18532069
124518.57+515538.2,6674,56416,964,9.095994639,46.83391315
151123.30+495101.2,6727,56369,773,9.575858363,47.50876132
153734.66+470442.0,6729,56419,322,9.304306567,47.16872402
131831.10+502759.6,6754,56414,240,9.032437287,46.99478868
131316.59+513025.3,6754,56414,561,9.367861035,47.05527348
144412.36+582636.9,6806,56419,302,9.299953729,46.91919448
145340.51+625800.3,6983,56447,896,9.337826034,47.19553653
102908.60+651815.3,7083,56722,348,9.457933727,47.34881927
103800.50+582343.0,7089,56661,60,9.436791113,47.22128945
115746.31+585003.8,7098,56661,163,8.998059194,47.00378793
000423.02-060411.9,7148,56591,664,9.141204673,46.70098796
104241.00+462720.6,7391,56781,721,9.911299609,47.41404615
235137.18+232135.3,7597,56973,699,9.197741884,46.95452136
011135.35+181826.1,7622,56987,113,9.704756089,47.45915444
004911.12+252207.8,7673,57329,103,9.099721677,47.03996773
002238.35+273533.2,7694,57359,6,9.236882138,47.10177693
011620.41+014410.7,7861,57281,472,8.964553279,46.64997053
115023.49+414333.9,8381,57512,320,9.628985665,47.24140176
