SDSS name,Spec Files,Redshift,OG EHVO Obs,Tmin From EHVO,Tmin (restframe),Done,2000 BI LIMIT,500 BI LIMIT,BI TOTAL,BI INDIVIDUAL,VMINS,VMAXS,EW INDIVIDUAL 500,DEPTH,,Variable?,Variable between EHVO and Tmin epochs?,,,,,,
J085117.41+301838.7,spec-1589-52972-0430,1.914,0,1772.477694,1772.477694,TRUE,,,0,[],[],[],0,[],,TRUE,TRUE,,,,,,
J085117.41+301838.7,spec-10431-58137-0135,1.914,1,1772.477694,1772.477694,TRUE,,,196.97,[149.42],[-37190.96072 ],[-40381.02541 -44574.85895 -46261.04939 -56976.91903],[172.42],[0.25],,TRUE,TRUE,,,,,,
J165542.60+381338.3,spec-5187-56074-0092,1.945,1,738.8794567,738.8794567,TRUE,,,805.38,"[803.75, 1.63]",[-36372.1932 ],[-45583.97917 ],[846.86],[0.26],,TRUE,TRUE,,,,,,
J165542.60+381338.3,spec-10720-58250-0895,1.945,0,738.8794567,738.8794567,TRUE,,,1026,[984.71],[-35691.88757 ],[-43220.95462 ],[1011.84],[0.36],,TRUE,TRUE,,,,,,
J141415.41+163915.0,spec-2745-54231-0564,2,0,594.6666667,594.6666667,TRUE,4th and 5th,,962.61," 21.63, 360.9",-77616.99118,-81345.06605,"[110.87, 443.07]"," 0.65, 0.81",,TRUE,TRUE,Small variability,,,,,
J141415.41+163915.0,spec-5454-56015-0104,2,1,594.6666667,594.6666667,TRUE,,,495.25,[483.27],[-38231.52113 ],[-41554.03618 ],[508.35],[0.45],,TRUE,TRUE,,,,,,
J091247.35+254646.2,spec-5778-56328-0973,2.015,1,1564.179104,1564.179104,TRUE,"1,3",,298.7,"97.11,  191.64",[-37868.84957  -45585.42733],[-40582.83489  -49018.13831],"[101.74,  200.22]","[0.25,  0.27]",,TRUE,TRUE,,,,,,
J091247.35+254646.2,spec-9602-58131-0454,2.015,0,1564.179104,1564.179104,TRUE,Both,,91.91,"[9.67, 82.24]",[-40515.03678 -46933.09917],[-41327.91856 -48749.50924],"[20.32, 119.91]","[0.21, 0.31]",,TRUE,TRUE,,,,,,
J125924.28+445105.0,spec-1374-53083-0381,2.028,0,1084.214003,1084.214003,TRUE,,,0,[],[],[],0,[],,TRUE,TRUE,,,,,,
J125924.28+445105.0,spec-6621-56366-0502,2.028,1,1084.214003,1084.214003,TRUE,,,164.94,[164.94],[-34514.3775],[-38051.42022],[176.22],[0.26],,TRUE,TRUE,,,,,,
J130236.17+095831.8,spec-1793-53883-0520,2.072,0,683.2682292,683.2682292,TRUE,,,3466.24,[3454.7],[-32104.59127 ],[-43650.69846 -56864.94621],[3487.03],[0.65],,TRUE,TRUE,,,,,,
J130236.17+095831.8,spec-5415-55982-0013,2.072,1,683.2682292,683.2682292,TRUE,,,2190.13,[2190.13],[-32377.56019],[-41283.17311],[2196.0],[0.58],,TRUE,TRUE,,,,,,
J120821.01+090130.4,spec-1229-52723-0245,2.079,0,1064.306593,1064.306593,TRUE,"Feature at 54k, VERY Unlikely to be CIV",,0,,,,0,,Calling 0 for now,TRUE,TRUE,,,,,,
J120821.01+090130.4,spec-5391-56000-0254,2.079,1,1064.306593,1064.306593,TRUE,,,434.73,[211.49],[-32642.49693 ],[-38223.64705 ],[212.2],[0.23],,TRUE,TRUE,,,,,,
J093208.77+314328.0,spec-5807-56329-0778,2.089,1,587.8925219,587.8925219,TRUE,,,96.08,[96.08],[-40942.38329],[-43378.17873],[107.11],[0.17],,TRUE,TRUE,,,,,,
J093208.77+314328.0,spec-10429-58145-0655,2.089,0,587.8925219,587.8925219,TRUE,Just 2nd,,432.79,[ 361.59],[-38229.23051],[ -43445.88292],[ 368.57],[0.26],,TRUE,TRUE,,,,,,
J110018.52+314122.5,spec-6442-56369-0246,2.093,1,578.7261558,578.7261558,TRUE,,,740.21,[740.21],[-35279.76127],[-41796.97003],[755.04],[0.41],,TRUE,TRUE,,,,,,
