sdssName,Plate,MJD,Fiber
075138.04+191310.0,1582,52939,0558
075916.12+092743.0,2945,54505,0067
085117.41+301838.7,1589,52972,0430
085119.10+134652.5,2430,53815,0471
085824.80+265903.0,1933,53381,0566
090833.41+325434.6,1272,52989,0064
091247.35+254646.2,2087,53415,0278
092619.69+591507.5,0485,51909,0092
094734.19+142116.9,2582,54139,0485
103800.50+582343.0,0948,52428,0370
104121.11+334901.6,1982,53436,0626
112954.72+080935.5,1618,53116,0538
114851.46+231340.4,2511,53882,0552
120105.36+290352.1,2225,53729,0182
120821.01+090130.4,1229,52723,0245
123815.03+443026.2,1372,53062,0154
123830.71+480003.4,1455,53089,0381
124518.57+515538.2,0885,52379,0063
125924.28+445105.0,1374,53083,0381
130236.17+095831.8,1793,53883,0520
140958.02+220206.0,2785,54537,0175
141415.41+163915.0,2745,54231,0564
143212.86+113953.1,1709,53533,0576
144412.36+582636.9,0790,52441,0583
144844.69+092834.2,1713,53827,0211
162122.54+075808.4,1732,53501,0445
162349.61+505501.1,2884,54526,0579
163514.75+415230.2,0628,52083,0304
213054.48+011500.5,1521,52945,0532
