SDSS name,Spec Files,Redshift (from SDSS),Redshift (from Rankine),Redshift,OG EHVO obs = Rankine Obs,OG EHVO Obs,Tmin (restframe),BI 2000 Limit #s ->,BI TOTAL,BI INDIVIDUAL,VMINS,VMAXS,EW INDIVIDUAL,DEPTH,VCentral,BI 500 Limit #s ->,BI TOTAL,BI INDIVIDUAL,VMINS,VMAXS,EW INDIVIDUAL 500,DEPTH,VCentral,,NV?,SiIV?,NV > CIV?,
J085117.41+301838.7,spec-1589-52972-0430,1.914,,1.914,FALSE,,1772.478,NEED TO REMOVE TROUGHS!,0,,,,,,[],NEED TO REMOVE TROUGHS,0,,,,,,[],,N/A,N/A,N/A,
J085117.41+301838.7,spec-10431-58137-0135,1.914,,1.914,FALSE,1,1772.478,1,36.03,36.03,-37190.96072,-40381.02541,448.7,0.25,[-38674.01920246],5,149.42,149.42,-37190.96072,-40381.02541,448.7,0.25,[-38674.01920246],,N/A,N/A,N/A,
J165542.60+381338.3,spec-5187-56074-0092,1.945,1.94424,1.94424,TRUE,1,739.0701845,1,627.69,[627.69],[-36295.95398],[-45508.38933],[1669.94],[0.26],[-40616.76216113],5,803.8,803.8,-36295.95398,-45508.38933,1669.94,0.26,[-40616.76216113],,N/A,N/A,N/A,
J165542.60+381338.3,spec-10720-58250-0895,1.945,1.94424,1.94424,TRUE,,739.0701845,1,791.82,[791.82],[-35547.48361],[-43145.18427],[1665.12],[0.36],[-39333.31369793],"Not done, rare bug with vmin calc",984.77,984.77,-35615.60619,-43220.95462,1665.12,0.36,[-39333.31369793],,N/A,N/A,N/A,
J141415.41+163915.0,spec-2745-54231-0564,2,1.99798,1.99798,TRUE,,595.0673453,1,69.1,[28.81],[-39254.83091],[-41965.25794],[597.13],[0.81],[-40396.98508126],5,360.97,360.97,-39254.83091,-41965.25794,597.13,0.81,[-40396.98508126],,N/A,N/A,N/A,No clear SiIV
J141415.41+163915.0,spec-5454-56015-0104,2,1.99798,1.99798,TRUE,1,595.0673453,1,109.94,[109.94],[-38032.85982],[-41355.96903],[765.15],[0.45],[-39592.20684159],5,483.27,483.27,-38032.85982,-41355.96903,765.15,0.45,[-39592.20684159],,N/A,TRUE,N/A,"Possible truncation on red wing, likely some SiIV"
J091247.35+254646.2,spec-5778-56328-0973,2.015,2.01702,2.01702,TRUE,1,1563.131832,1,139.62,"[41.98, 97.64]",[-37998.58878 -45714.03705],[-40779.92626 -49213.53761],"[316.72, 507.54]","[0.25, 0.27]",[-39582.77738566 -47507.00193233],"Not done, rare bug with vmin calc",288.75,"97.11,191.64",-83847.97133,-89993.46387,"316.72, 507.54","0.25, 0.27",[-39582.77738566 -47507.00193233],,N/A,N/A,N/A,Not enough data for SiIV
J091247.35+254646.2,spec-9602-58131-0454,2.015,2.01702,2.01702,TRUE,,1563.131832,1,0,[],[],[],[],[],[],5,91.91,"9.67, 82.24",-87841.08675,-90469.84061,"67.03, 262.87","0.21, 0.31",[-41075.02506098 -48031.77248431],,N/A,N/A,N/A,Not enough data for SiIV
J125924.28+445105.0,spec-1374-53083-0381,2.028,2.03067,2.03067,TRUE,,1083.258817,1,0,[],[],[],[],[],[],5,0,,,,,,[],,N/A,N/A,N/A,Not enough data for SiIV
J125924.28+445105.0,spec-6621-56366-0502,2.028,2.03067,2.03067,TRUE,1,1083.258817,1,77.32,[77.32],[-34775.08032],[-38311.36582],[495.76],[0.26],[-36599.59561533],5,164.91,164.91,-34775.08032,-38311.36582,495.76,0.26,[-36599.59561533],,N/A,N/A,N/A,Not enough data for SiIV
J130236.17+095831.8,spec-1793-53883-0520,2.072,2.07441,2.07441,TRUE,,682.7326,1,3106.56,[3106.56],[-32336.97213],[-43880.78458],[4267.1],[0.65],[-37714.25136072],5,3465.56,3465.56,-32336.97213,-43880.78458,4267.1,0.65,[-37714.25136072],,N/A,TRUE,N/A,Probable truncation of redwing of Ly-a+NV emission line
J130236.17+095831.8,spec-5415-55982-0013,2.072,2.07441,2.07441,TRUE,1,682.7326,1,1875.62,[1875.62],[-32609.89484],[-41513.78659],[2848.66],[0.58],[-36753.80670693],5,2189.71,2189.71,-32609.89484,-41513.78659,2848.66,0.58,[-36753.80670693],,N/A,TRUE,N/A,Probable truncation of redwing of Ly-a+NV emission line
J120821.01+090130.4,spec-1229-52723-0245,2.079,2.077214,2.077214,TRUE,,1064.924,1,0,[],[],[],[],[],[],5,0,0,,,,,,,N/A,FALSE,N/A,No clear SiIV
J120821.01+090130.4,spec-5391-56000-0254,2.079,2.077214,2.077214,TRUE,1,1064.924,1,173.42,[173.42],[-32470.21563],[-38052.13114],[712.29],[0.23],[-35447.84425556],5,211.52,211.52,-32470.21563,-38052.13114,712.29,0.23,[-35447.84425556],,N/A,FALSE,N/A,No clear SiIV
J093208.77+314328.0,spec-5807-56329-0778,2.089,2.089261,2.089261,TRUE,1,587.842853,1,15.15,[15.15],[-40967.14476],[-43402.88252],[335.36],[0.17],[-42238.54223712],5,96.08,96.08,-40967.14476,-43402.88252,335.36,0.17,[-42238.54223712],,N/A,FALSE,N/A,"Odd spectrum, middle of Ly-a+NV emission is nearly completely absorbed, seems unlikely to be caused by SiIV completely"
J093208.77+314328.0,spec-10429-58145-0655,2.089,2.089261,2.089261,TRUE,,587.842853,1,298.64,[298.64],[-38254.0523],[-43470.58505],[848.04],[0.26],[-41053.597781],5,361.58,361.58,-38254.0523,-43470.58505,848.04,0.26,[ -41053.597781 ],,N/A,FALSE,N/A,"Odd spectrum, middle of Ly-a+NV emission is nearly completely absorbed, seems unlikely to be caused by SiIV completely"
J093208.77+314328.0,spec-11377-58434-0650,2.089,2.089261,2.089261,TRUE,,587.842853,1,533.37,[533.37],[-36487.16699],[-43470.58505],[1345.45],[0.28],[-40027.45199558],5,697.82,697.82,-36487.16699,-43470.58505,1345.45,0.28,[-40027.45199558],,N/A,FALSE,N/A,"Odd spectrum, middle of Ly-a+NV emission is nearly completely absorbed, seems unlikely to be caused by SiIV completely"
J110018.52+314122.5,spec-6442-56369-0246,2.093,2.09346,2.09346,TRUE,1,578.6401,1,626.94,[626.94],[-35255.74385],[-41840.68523],[1313.24],[0.41],[-38592.82690212],"Not done, rare bug with vmin calc",740.18,740.18,-35323.72578,-41840.68523,1313.24,0.41,[-38592.82690212],,N/A,FALSE,N/A,"No clear SiIV, Possible truncation of red-wing? Nothing conclusive"
J110018.52+314122.5,spec-10479-58159-0770,2.093,2.09346,2.09346,TRUE,,578.6401,1,1433.57,[1433.57],[-34710.93222],[-43396.24587],[2361.6],[0.47],[-38994.40774266],5,1648.76,1648.76,-34710.93222,-43396.24587,2361.6,0.47,[-38994.40774266],,N/A,FALSE,N/A,"No clear SiIV, Possible truncation of red-wing? Nothing conclusive"
J162122.54+075808.4,spec-1732-53501-0445,2.138,2.140198,2.140198,TRUE,,800.9049,1,0,[],[],[],[],[],[],5,53.86,4.39,-38527.66254,-39409.78814,100.7,0.21,[-38922.8447223],,N/A,TRUE,N/A,Very likely SiIV
J162122.54+075808.4,spec-5212-56016-0348,2.138,2.140198,2.140198,TRUE,1,800.9049,1,113.62,[113.62],[-36149.16344],[-38934.88925],[675.4],[0.36],[-37639.54401325],5,430.52,430.52,-36149.16344,-38934.88925,675.4,0.36,[-37639.54401325],,N/A,TRUE,N/A,Very likely SiIV
J123615.42+515917.9,spec-6674-56416-0693,2.145,2.143253,2.143253,TRUE,1,566.9286,1,769.7,"57.1, 712.74",-88188.40478,-95932.72322,"539.86, 1336.57","0.51, 0.68",[-44095.09861215 -48311.62164489],5,1248.38,"338.18, 910.42",-88188.40478,-95932.72322,"539.86, 1336.57"," 0.51, 0.68",[-44095.09861215 -48311.62164489],,N/A,TRUE,N/A,"Middle of Ly-a+NV almost completely absorbed, absorptioin centers on SiIV. But also seems unlikely that such a small CiV would cause immense SiIV. SiIV is still likely however"
J123615.42+515917.9,spec-8221-58198-0399,2.145,2.143253,2.143253,TRUE,,566.9286,1,199.28,[199.28],[-45782.01505],[-49079.74756],[504.32],[0.46],[-47597.43880742],5,521.34,"213.68, 255.08, 52.58",-139289.5351, -45175.03114 -49079.74756 -50757.69208,"456.49, 504.32, 138.52","0.61, 0.46, 0.29","[-44370.87904049 -47597.43880742
 
  -50451.09653558]",,N/A,FALSE,N/A,"Middle of Ly-a+NV almost completely absorbed, absorptioin centers on SiIV. But also seems unlikely that such a small CiV would cause immense SiIV. SiIV is still likely however"
J162115.06+400732.3,spec-6045-56072-0455,2.208,2.21213,2.21213,TRUE,1,676.1868,"? BI500 done, maybe changes needed for BI2000?",28.78,[28.78],[-45117.138],[-48081.01542],[509.34],[0.31],[-46459.7375848],0,431.26,"210.29, 220.97",-93534.35681,-97774.6635,"509.54, 351.19","0.31, 0.52",[-46459.7375848 -49198.15233434],,N/A,NOT DONE,N/A,
